Amount,TransactionType,CustomerAge,AccountBalance,Location,DeviceUsed,CardType,PreviousFraudHistory,MultiDeviceUsed,TransactionSpeed,MerchantRisk,RepeatedTransactions,InternationalTransaction,Fraudulent
4797.026957521012,ATM,48,36993.28997714587,UK,Mobile,Credit,0,0,1.696040853515843,Medium,0,0,1
727.0403042028652,Online,58,24193.06751453101,UK,Desktop,Credit,1,0,0.9890952696480269,Medium,0,0,1
533.0266516728493,Online,76,28506.348741445727,USA,Mobile,Debit,1,1,0.3468334399773145,Medium,1,1,1
3513.6110363625844,Online,54,33032.394456928385,UK,Tablet,Debit,0,0,3.16924532199502,High,0,0,1
9899.702721575552,POS,23,44874.14423977123,Canada,Desktop,Debit,0,0,3.325119791066933,Low,0,0,1
4109.725401125941,Online,44,21142.803928343077,UK,Tablet,Credit,1,0,2.611484800247039,High,0,0,1
1527.5079081878205,POS,64,36385.47592036188,Germany,Mobile,Credit,0,0,1.6331072036145535,High,0,0,1
4760.704914493398,POS,57,20885.108833930284,Germany,Mobile,Credit,0,0,4.239349438629356,Medium,0,0,1
285.0918314959602,ATM,64,14956.51478156222,Canada,Tablet,Credit,0,1,1.7261847710957243,Medium,0,0,1
1926.7545739402417,POS,53,37429.217350176645,Mexico,Mobile,Debit,0,0,0.6839855242385802,Low,0,0,1
6210.398193447595,ATM,43,15319.05184681448,India,Tablet,Prepaid,0,0,2.6531742462979144,High,0,0,1
8921.545086219361,Wire Transfer,73,14877.338067166513,France,Mobile,Credit,0,0,1.8821443593621732,High,0,0,1
4366.904026061814,POS,47,25892.26560934526,UK,Tablet,Debit,0,0,4.176358815049143,Medium,0,0,1
190.9207363701967,POS,60,41676.981577188686,UK,Mobile,Debit,0,0,2.051071144770638,Low,0,0,1
4333.341127196633,Wire Transfer,57,18749.60724732948,USA,Desktop,Prepaid,0,0,0.3489940342193408,High,0,0,0
3433.02501375999,Wire Transfer,54,33687.231502400886,USA,Tablet,Prepaid,1,0,4.586057775465625,Low,0,0,0
188.560607986804,POS,68,8924.20371735424,UK,Desktop,Credit,0,1,2.231941229101232,Low,0,0,1
